flat plate
1.00000 0.00000 
0.99893 0.00004 
0.99582 0.00021 
0.99079 0.00052 
0.98395 0.00095 
0.97540 0.00145 
0.96519 0.00200 
0.95338 0.00254 
0.93999 0.00306 
0.92501 0.00351 
0.90840 0.00390 
0.89008 0.00422 
0.86989 0.00446 
0.84758 0.00465 
0.82274 0.00478 
0.79471 0.00488 
0.76226 0.00494 
0.72293 0.00497 
0.67009 0.00499 
0.55375 0.00500 
0.33976 0.00500 
0.28723 0.00499 
0.25044 0.00497 
0.22145 0.00495 
0.19736 0.00492 
0.17676 0.00488 
0.15880 0.00484 
0.14295 0.00480 
0.12883 0.00475 
0.11617 0.00470 
0.10476 0.00464 
0.09444 0.00459 
0.08508 0.00452 
0.07657 0.00446 
0.06882 0.00439 
0.06176 0.00432 
0.05532 0.00425 
0.04943 0.00417 
0.04406 0.00410 
0.03916 0.00402 
0.03469 0.00394 
0.03060 0.00385 
0.02688 0.00376 
0.02350 0.00367 
0.02042 0.00358 
0.01762 0.00348 
0.01509 0.00338 
0.01281 0.00328 
0.01075 0.00317 
0.00891 0.00306 
0.00728 0.00294 
0.00583 0.00282 
0.00456 0.00269 
0.00346 0.00254 
0.00252 0.00239 
0.00174 0.00222 
0.00111 0.00203 
0.00062 0.00181 
0.00027 0.00154 
0.00007 0.00116 
0.00000 0.00000 
0.00007 -0.00116 
0.00027 -0.00154 
0.00062 -0.00181 
0.00111 -0.00203 
0.00174 -0.00222 
0.00252 -0.00239 
0.00346 -0.00254 
0.00456 -0.00269 
0.00583 -0.00282 
0.00728 -0.00294 
0.00891 -0.00306 
0.01075 -0.00317 
0.01281 -0.00328 
0.01509 -0.00338 
0.01762 -0.00348 
0.02042 -0.00358 
0.02350 -0.00367 
0.02688 -0.00376 
0.03060 -0.00385 
0.03469 -0.00394 
0.03916 -0.00402 
0.04406 -0.00410 
0.04943 -0.00417 
0.05532 -0.00425 
0.06176 -0.00432 
0.06882 -0.00439 
0.07657 -0.00446 
0.08508 -0.00452 
0.09444 -0.00459 
0.10476 -0.00464 
0.11617 -0.00470 
0.12883 -0.00475 
0.14295 -0.00480 
0.15880 -0.00484 
0.17676 -0.00488 
0.19736 -0.00492 
0.22145 -0.00495 
0.25044 -0.00497 
0.28723 -0.00499 
0.33976 -0.00500 
0.55375 -0.00500 
0.67009 -0.00499 
0.72293 -0.00497 
0.76226 -0.00494 
0.79471 -0.00488 
0.82274 -0.00478 
0.84758 -0.00465 
0.86989 -0.00446 
0.89008 -0.00422 
0.90840 -0.00390 
0.92501 -0.00351 
0.93999 -0.00306 
0.95338 -0.00254 
0.96519 -0.00200 
0.97540 -0.00145 
0.98395 -0.00095 
0.99079 -0.00052 
0.99582 -0.00021 
0.99893 -0.00004 
1.00000 0.00000 
